Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time
Emirates,KTM,JFK,2023-10-26,2023-10-28,728,1,26
Emirates,KTM,JFK,2023-10-26,2023-10-26,672,3,24
Qatar Airways,KTM,JFK,2023-10-26,2023-10-27,1472,2,46
Korean Air,KTM,JFK,2023-10-26,2023-10-29,1035,2,23
China Southern,KTM,JFK,2023-10-26,2023-10-29,1855,2,35
Qatar Airways,KTM,JFK,2023-10-26,2023-10-28,1600,1,50
Korean Air,KTM,JFK,2023-10-26,2023-10-28,1395,3,31
Qatar Airways,KTM,JFK,2023-10-28,2023-10-30,1089,2,33
Etihad,KTM,JFK,2023-10-28,2023-10-29,1815,1,33
Turkish Airlines,KTM,JFK,2023-10-28,2023-10-28,1240,3,20
China Southern,KTM,JFK,2023-10-28,2023-10-31,1760,3,32
Etihad,KTM,JFK,2023-10-28,2023-10-30,2750,2,50
Turkish Airlines,KTM,JFK,2023-10-28,2023-10-29,2108,3,34
Korean Air,KTM,JFK,2023-10-28,2023-10-31,1645,2,35
Emirates,KTM,JFK,2023-10-28,2023-10-29,1450,1,50
Etihad,KTM,JFK,2023-10-28,2023-10-30,2640,3,48
Korean Air,KTM,JFK,2023-10-28,2023-10-29,2256,2,48
Etihad,KTM,JFK,2023-10-28,2023-10-28,1650,1,30
Turkish Airlines,KTM,JFK,2023-10-28,2023-10-31,1302,2,21
Turkish Airlines,KTM,JFK,2023-10-28,2023-10-29,1674,1,27
Korean Air,KTM,JFK,2023-10-28,2023-10-29,1692,2,36
Etihad,KTM,JFK,2023-10-28,2023-10-28,2145,2,39
Qatar Airways,KTM,JFK,2023-10-28,2023-10-31,1122,3,34
Emirates,KTM,JFK,2023-10-28,2023-10-31,1015,3,35
China Southern,KTM,JFK,2023-10-28,2023-10-29,2640,3,48
Korean Air,KTM,JFK,2023-10-28,2023-10-31,1269,2,27
Cathay Pacific,KTM,JFK,2023-10-28,2023-10-29,2210,3,34
Cathay Pacific,KTM,JFK,2023-10-28,2023-10-29,1690,3,26
Qatar Airways,KTM,JFK,2023-10-28,2023-10-28,1188,1,36
China Southern,KTM,JFK,2023-10-28,2023-10-29,1155,3,21
Cathay Pacific,KTM,JFK,2023-10-28,2023-10-30,1495,3,23
Korean Air,KTM,JFK,2023-10-28,2023-10-31,1551,3,33
Emirates,KTM,JFK,2023-10-28,2023-10-29,638,3,22
Qatar Airways,KTM,JFK,2023-10-28,2023-10-29,1254,1,38
China Southern,KTM,JFK,2023-10-28,2023-10-28,1085,1,31
China Southern,KTM,JFK,2023-10-28,2023-10-31,1815,2,33
Turkish Airlines,KTM,JFK,2023-10-28,2023-10-31,1488,2,24
Cathay Pacific,KTM,JFK,2023-10-28,2023-10-29,2990,1,46
Emirates,KTM,JFK,2023-10-28,2023-10-31,696,2,24
Emirates,KTM,JFK,2023-10-28,2023-10-31,928,2,32
Qatar Airways,KTM,JFK,2023-10-28,2023-10-31,858,3,26
China Southern,KTM,JFK,2023-10-28,2023-10-30,1330,3,38
China Southern,KTM,JFK,2023-10-28,2023-10-28,735,3,21
China Southern,KTM,JFK,2023-10-28,2023-10-30,2365,3,43
China Southern,KTM,JFK,2023-10-28,2023-10-28,1575,3,45
Qatar Airways,KTM,JFK,2023-10-31,2023-11-02,1408,2,44
Etihad,KTM,JFK,2023-10-31,2023-11-01,1275,2,25
Turkish Airlines,KTM,JFK,2023-10-31,2023-11-03,2160,3,36
China Southern,KTM,JFK,2023-10-31,2023-11-02,2279,1,43
Etihad,KTM,JFK,2023-10-31,2023-10-31,2448,1,48
Turkish Airlines,KTM,JFK,2023-10-31,2023-10-31,1860,2,31
Korean Air,KTM,JFK,2023-10-31,2023-11-03,1144,3,26
Emirates,KTM,JFK,2023-10-31,2023-11-02,784,1,28
Etihad,KTM,JFK,2023-10-31,2023-11-01,1836,1,36
Korean Air,KTM,JFK,2023-10-31,2023-11-01,1056,1,24
Etihad,KTM,JFK,2023-10-31,2023-11-03,1785,1,35
Turkish Airlines,KTM,JFK,2023-10-31,2023-11-01,3000,1,50
Turkish Airlines,KTM,JFK,2023-10-31,2023-10-31,1380,3,23
Korean Air,KTM,JFK,2023-10-31,2023-10-31,1100,1,25
Etihad,KTM,JFK,2023-10-31,2023-10-31,1122,2,22
Qatar Airways,KTM,JFK,2023-10-31,2023-11-01,1376,2,43
Emirates,KTM,JFK,2023-10-31,2023-10-31,756,1,27
China Southern,KTM,JFK,2023-10-31,2023-11-01,1749,2,33
Korean Air,KTM,JFK,2023-10-31,2023-10-31,1100,2,25
Cathay Pacific,KTM,JFK,2023-10-31,2023-11-01,1800,2,30
Cathay Pacific,KTM,JFK,2023-10-31,2023-11-01,2340,1,39
Qatar Airways,KTM,JFK,2023-10-31,2023-11-03,1216,2,38
China Southern,KTM,JFK,2023-10-31,2023-11-02,1749,2,33
Cathay Pacific,KTM,JFK,2023-10-31,2023-10-31,1200,2,20
Korean Air,KTM,JFK,2023-10-31,2023-10-31,2200,2,50
Emirates,KTM,JFK,2023-10-31,2023-11-03,644,2,23
Qatar Airways,KTM,JFK,2023-10-31,2023-10-31,1312,1,41
China Southern,KTM,JFK,2023-10-31,2023-11-02,1248,2,39
China Southern,KTM,JFK,2023-10-31,2023-11-03,1113,2,21
Turkish Airlines,KTM,JFK,2023-10-31,2023-11-03,2460,1,41
Cathay Pacific,KTM,JFK,2023-10-31,2023-11-01,1620,1,27
Emirates,KTM,JFK,2023-10-31,2023-11-03,1008,3,36
Emirates,KTM,JFK,2023-10-31,2023-11-01,1008,2,36
Qatar Airways,KTM,JFK,2023-10-31,2023-11-02,1504,2,47
China Southern,KTM,JFK,2023-10-31,2023-11-01,736,1,23
China Southern,KTM,JFK,2023-10-31,2023-11-01,768,2,24
China Southern,KTM,JFK,2023-10-31,2023-11-03,2332,1,44
China Southern,KTM,JFK,2023-10-31,2023-10-31,864,3,27
Etihad,KTM,JFK,2023-11-01,2023-11-04,1989,2,39
China Southern,KTM,JFK,2023-11-01,2023-11-04,1855,3,35
Cathay Pacific,KTM,JFK,2023-11-01,2023-11-02,1800,2,30
Korean Air,KTM,JFK,2023-11-01,2023-11-01,1100,3,25
Cathay Pacific,KTM,JFK,2023-11-01,2023-11-01,1920,2,32
Etihad,KTM,JFK,2023-11-01,2023-11-02,1581,2,31
Cathay Pacific,KTM,JFK,2023-11-01,2023-11-03,2220,1,37
Cathay Pacific,KTM,JFK,2023-11-01,2023-11-03,2520,1,42
Turkish Airlines,KTM,JFK,2023-11-01,2023-11-03,2760,2,46
China Southern,KTM,JFK,2023-11-01,2023-11-01,1536,2,48
Etihad,KTM,JFK,2023-11-01,2023-11-04,2091,3,41
Qatar Airways,KTM,JFK,2023-11-01,2023-11-04,1536,3,48
China Southern,KTM,JFK,2023-11-01,2023-11-03,1248,3,39
China Southern,KTM,JFK,2023-11-01,2023-11-02,2597,1,49
Korean Air,KTM,JFK,2023-11-01,2023-11-03,1584,2,36
Etihad,KTM,JFK,2023-11-01,2023-11-03,1428,1,28
Qatar Airways,KTM,JFK,2023-11-01,2023-11-01,800,3,25
China Southern,KTM,JFK,2023-11-01,2023-11-04,704,3,22
Cathay Pacific,KTM,JFK,2023-11-01,2023-11-02,1380,3,23
China Southern,KTM,JFK,2023-11-01,2023-11-03,992,3,31
Emirates,KTM,JFK,2023-11-01,2023-11-04,924,3,33
China Southern,KTM,JFK,2023-11-01,2023-11-04,2650,1,50
Emirates,KTM,JFK,2023-11-01,2023-11-04,1372,1,49
Qatar Airways,KTM,JFK,2023-11-01,2023-11-02,1152,2,36
Turkish Airlines,KTM,JFK,2023-11-01,2023-11-02,1500,3,25
Korean Air,KTM,JFK,2023-11-01,2023-11-04,2200,2,50
Qatar Airways,KTM,JFK,2023-11-01,2023-11-03,736,3,23
Etihad,KTM,JFK,2023-11-01,2023-11-03,1275,2,25
China Southern,KTM,JFK,2023-11-03,2023-11-03,672,2,21
China Southern,KTM,JFK,2023-11-03,2023-11-05,736,2,23
China Southern,KTM,JFK,2023-11-03,2023-11-03,960,3,30
China Southern,KTM,JFK,2023-11-03,2023-11-06,1113,3,21
China Southern,KTM,JFK,2023-11-03,2023-11-04,1961,3,37
China Southern,KTM,JFK,2023-11-03,2023-11-05,2279,1,43
Qatar Airways,KTM,JFK,2023-11-03,2023-11-03,992,3,31
Korean Air,KTM,JFK,2023-11-03,2023-11-03,968,2,22
Cathay Pacific,KTM,JFK,2023-11-03,2023-11-04,1200,3,20
Emirates,KTM,JFK,2023-11-03,2023-11-04,728,2,26
Qatar Airways,KTM,JFK,2023-11-03,2023-11-06,1536,1,48
Turkish Airlines,KTM,JFK,2023-11-03,2023-11-04,2220,1,37
China Southern,KTM,JFK,2023-11-03,2023-11-03,1472,1,46
Turkish Airlines,KTM,JFK,2023-11-03,2023-11-03,2820,1,47
Emirates,KTM,JFK,2023-11-03,2023-11-03,1372,3,49
Emirates,KTM,JFK,2023-11-03,2023-11-06,1288,1,46
Qatar Airways,KTM,JFK,2023-11-03,2023-11-03,1600,3,50
Qatar Airways,KTM,JFK,2023-11-03,2023-11-04,704,3,22
Korean Air,KTM,JFK,2023-11-03,2023-11-03,1320,3,30
Korean Air,KTM,JFK,2023-11-03,2023-11-03,1320,1,30
Qatar Airways,KTM,JFK,2023-11-03,2023-11-03,960,2,30
Etihad,KTM,JFK,2023-11-03,2023-11-06,2091,1,41
Turkish Airlines,KTM,JFK,2023-11-05,2023-11-05,1200,2,20
China Southern,KTM,JFK,2023-11-05,2023-11-05,1440,3,45
Cathay Pacific,KTM,JFK,2023-11-05,2023-11-08,2880,2,48
China Southern,KTM,JFK,2023-11-05,2023-11-06,1344,3,42
Turkish Airlines,KTM,JFK,2023-11-05,2023-11-08,1680,2,28
Korean Air,KTM,JFK,2023-11-05,2023-11-08,1056,3,24
China Southern,KTM,JFK,2023-11-05,2023-11-07,2173,3,41
China Southern,KTM,JFK,2023-11-05,2023-11-05,1060,2,20
Emirates,KTM,JFK,2023-11-05,2023-11-06,1344,2,48
China Southern,KTM,JFK,2023-11-05,2023-11-08,864,1,27
China Southern,KTM,JFK,2023-11-05,2023-11-08,1219,2,23
Korean Air,KTM,JFK,2023-11-05,2023-11-06,1980,2,45
Qatar Airways,KTM,JFK,2023-11-05,2023-11-05,1600,1,50
Etihad,KTM,JFK,2023-11-05,2023-11-06,1887,3,37
China Southern,KTM,JFK,2023-11-05,2023-11-06,864,3,27
Cathay Pacific,KTM,JFK,2023-11-05,2023-11-08,1260,3,21
Etihad,KTM,JFK,2023-11-05,2023-11-06,2091,2,41
Emirates,KTM,JFK,2023-11-05,2023-11-07,1036,2,37
Emirates,KTM,JFK,2023-11-05,2023-11-06,952,3,34
Emirates,KTM,JFK,2023-11-05,2023-11-07,700,1,25
Qatar Airways,KTM,JFK,2023-11-05,2023-11-06,736,1,23
Turkish Airlines,KTM,JFK,2023-11-05,2023-11-05,1620,3,27
Korean Air,KTM,JFK,2023-11-05,2023-11-06,1452,3,33
Qatar Airways,KTM,JFK,2023-11-05,2023-11-08,1184,2,37
Turkish Airlines,KTM,JFK,2023-11-05,2023-11-07,1680,3,28
Cathay Pacific,KTM,JFK,2023-11-07,2023-11-10,1320,2,22
China Southern,KTM,JFK,2023-11-07,2023-11-08,1537,3,29
China Southern,KTM,JFK,2023-11-07,2023-11-10,992,1,31
China Southern,KTM,JFK,2023-11-07,2023-11-08,1325,3,25
Turkish Airlines,KTM,JFK,2023-11-07,2023-11-10,1680,2,28
Turkish Airlines,KTM,JFK,2023-11-07,2023-11-09,2160,2,36
China Southern,KTM,JFK,2023-11-07,2023-11-07,928,3,29
Turkish Airlines,KTM,JFK,2023-11-07,2023-11-07,2760,3,46
Korean Air,KTM,JFK,2023-11-07,2023-11-07,924,2,21
Turkish Airlines,KTM,JFK,2023-11-07,2023-11-08,2280,3,38
China Southern,KTM,JFK,2023-11-07,2023-11-10,2597,3,49
China Southern,KTM,JFK,2023-11-07,2023-11-07,928,2,29
Korean Air,KTM,JFK,2023-11-07,2023-11-09,1848,2,42
Emirates,KTM,JFK,2023-11-07,2023-11-07,1260,2,45
Etihad,KTM,JFK,2023-11-07,2023-11-07,1020,1,20
Korean Air,KTM,JFK,2023-11-07,2023-11-08,880,3,20
China Southern,KTM,JFK,2023-11-07,2023-11-10,1113,1,21
Qatar Airways,KTM,JFK,2023-11-07,2023-11-08,704,1,22
Etihad,KTM,JFK,2023-11-07,2023-11-07,1989,2,39
China Southern,KTM,JFK,2023-11-07,2023-11-08,1312,3,41
Etihad,KTM,JFK,2023-11-07,2023-11-08,2040,1,40
Emirates,KTM,JFK,2023-11-07,2023-11-10,672,2,24
Emirates,KTM,JFK,2023-11-07,2023-11-08,840,2,30
Emirates,KTM,JFK,2023-11-07,2023-11-07,1064,2,38
Qatar Airways,KTM,JFK,2023-11-07,2023-11-07,1536,2,48
Korean Air,KTM,JFK,2023-11-07,2023-11-07,1672,3,38
China Southern,KTM,JFK,2023-11-07,2023-11-07,2385,3,45
Qatar Airways,KTM,JFK,2023-11-07,2023-11-07,1376,1,43
Korean Air,KTM,JFK,2023-11-07,2023-11-07,924,3,21
Cathay Pacific,KTM,JFK,2023-11-09,2023-11-11,2820,1,47
China Southern,KTM,JFK,2023-11-09,2023-11-12,1060,3,20
China Southern,KTM,JFK,2023-11-09,2023-11-10,800,3,25
China Southern,KTM,JFK,2023-11-09,2023-11-09,2385,2,45
Turkish Airlines,KTM,JFK,2023-11-09,2023-11-10,1260,3,21
Turkish Airlines,KTM,JFK,2023-11-09,2023-11-10,1380,1,23
China Southern,KTM,JFK,2023-11-09,2023-11-09,1248,3,39
Turkish Airlines,KTM,JFK,2023-11-09,2023-11-09,2340,3,39
Korean Air,KTM,JFK,2023-11-09,2023-11-12,1012,1,23
Turkish Airlines,KTM,JFK,2023-11-09,2023-11-09,1680,2,28
China Southern,KTM,JFK,2023-11-09,2023-11-10,2120,3,40
China Southern,KTM,JFK,2023-11-09,2023-11-12,1536,2,48
Korean Air,KTM,JFK,2023-11-09,2023-11-10,1144,1,26
Emirates,KTM,JFK,2023-11-09,2023-11-09,952,3,34
Etihad,KTM,JFK,2023-11-09,2023-11-12,2244,1,44
Korean Air,KTM,JFK,2023-11-09,2023-11-11,1144,3,26
China Southern,KTM,JFK,2023-11-09,2023-11-12,1802,3,34
Qatar Airways,KTM,JFK,2023-11-09,2023-11-09,1152,3,36
Etihad,KTM,JFK,2023-11-09,2023-11-11,1326,2,26
China Southern,KTM,JFK,2023-11-09,2023-11-10,1248,2,39
Etihad,KTM,JFK,2023-11-09,2023-11-10,1836,1,36
Emirates,KTM,JFK,2023-11-09,2023-11-09,560,3,20
Emirates,KTM,JFK,2023-11-09,2023-11-09,1316,1,47
Emirates,KTM,JFK,2023-11-09,2023-11-11,1260,2,45
Qatar Airways,KTM,JFK,2023-11-09,2023-11-11,640,3,20
Korean Air,KTM,JFK,2023-11-09,2023-11-11,1056,3,24
China Southern,KTM,JFK,2023-11-09,2023-11-12,1113,2,21
Qatar Airways,KTM,JFK,2023-11-09,2023-11-10,672,1,21
Korean Air,KTM,JFK,2023-11-09,2023-11-10,1540,3,35
Cathay Pacific,KTM,JFK,2023-11-12,2023-11-14,2340,1,39
Emirates,KTM,JFK,2023-11-12,2023-11-12,756,1,27
Cathay Pacific,KTM,JFK,2023-11-12,2023-11-13,1980,2,33
China Southern,KTM,JFK,2023-11-12,2023-11-12,1378,1,26
Turkish Airlines,KTM,JFK,2023-11-12,2023-11-15,2040,1,34
Turkish Airlines,KTM,JFK,2023-11-12,2023-11-15,1200,1,20
China Southern,KTM,JFK,2023-11-12,2023-11-13,768,1,24
Turkish Airlines,KTM,JFK,2023-11-12,2023-11-14,2580,2,43
Korean Air,KTM,JFK,2023-11-12,2023-11-13,968,2,22
Etihad,KTM,JFK,2023-11-12,2023-11-12,2244,3,44
China Southern,KTM,JFK,2023-11-12,2023-11-13,1802,2,34
China Southern,KTM,JFK,2023-11-12,2023-11-15,1408,1,44
China Southern,KTM,JFK,2023-11-12,2023-11-12,1060,3,20
Qatar Airways,KTM,JFK,2023-11-12,2023-11-13,1280,2,40
China Southern,KTM,JFK,2023-11-12,2023-11-12,1152,3,36
Korean Air,KTM,JFK,2023-11-12,2023-11-15,1364,3,31
Emirates,KTM,JFK,2023-11-12,2023-11-14,1232,3,44
Qatar Airways,KTM,JFK,2023-11-12,2023-11-12,736,3,23
Etihad,KTM,JFK,2023-11-12,2023-11-13,1530,2,30
China Southern,KTM,JFK,2023-11-12,2023-11-14,1216,2,38
Etihad,KTM,JFK,2023-11-12,2023-11-12,1683,1,33
Emirates,KTM,JFK,2023-11-12,2023-11-13,1064,1,38
Emirates,KTM,JFK,2023-11-12,2023-11-13,1316,2,47
Emirates,KTM,JFK,2023-11-12,2023-11-12,924,3,33
Qatar Airways,KTM,JFK,2023-11-12,2023-11-13,1568,2,49
China Southern,KTM,JFK,2023-11-12,2023-11-12,1484,1,28
China Southern,KTM,JFK,2023-11-12,2023-11-15,1802,3,34
Qatar Airways,KTM,JFK,2023-11-12,2023-11-12,1536,2,48
Turkish Airlines,KTM,JFK,2023-11-12,2023-11-15,2580,1,43
Qatar Airways,KTM,JFK,2023-11-16,2023-11-18,2016,2,48
Etihad,KTM,JFK,2023-11-16,2023-11-18,2232,3,36
Turkish Airlines,KTM,JFK,2023-11-16,2023-11-18,2346,3,34
China Southern,KTM,JFK,2023-11-16,2023-11-19,3024,2,48
Turkish Airlines,KTM,JFK,2023-11-16,2023-11-18,2415,2,35
Turkish Airlines,KTM,JFK,2023-11-16,2023-11-16,2070,2,30
Korean Air,KTM,JFK,2023-11-16,2023-11-19,1705,1,31
Emirates,KTM,JFK,2023-11-16,2023-11-17,1102,1,29
Etihad,KTM,JFK,2023-11-16,2023-11-19,1674,1,27
Etihad,KTM,JFK,2023-11-16,2023-11-19,2914,3,47
Etihad,KTM,JFK,2023-11-16,2023-11-17,1922,2,31
Korean Air,KTM,JFK,2023-11-16,2023-11-19,2750,3,50
Korean Air,KTM,JFK,2023-11-16,2023-11-18,1815,1,33
Korean Air,KTM,JFK,2023-11-16,2023-11-19,1100,1,20
Qatar Airways,KTM,JFK,2023-11-16,2023-11-17,1386,2,33
Emirates,KTM,JFK,2023-11-16,2023-11-19,1786,2,47
China Southern,KTM,JFK,2023-11-16,2023-11-19,1449,2,23
Cathay Pacific,KTM,JFK,2023-11-16,2023-11-18,1872,3,24
China Southern,KTM,JFK,2023-11-16,2023-11-19,768,1,24
Qatar Airways,KTM,JFK,2023-11-16,2023-11-17,1008,2,24
China Southern,KTM,JFK,2023-11-16,2023-11-16,2520,3,40
China Southern,KTM,JFK,2023-11-16,2023-11-18,768,2,24
Korean Air,KTM,JFK,2023-11-16,2023-11-17,2310,1,42
Emirates,KTM,JFK,2023-11-16,2023-11-17,760,1,20
Qatar Airways,KTM,JFK,2023-11-16,2023-11-18,2058,2,49
China Southern,KTM,JFK,2023-11-16,2023-11-19,1152,2,36
China Southern,KTM,JFK,2023-11-16,2023-11-18,2016,1,32
Turkish Airlines,KTM,JFK,2023-11-16,2023-11-19,3174,2,46
Cathay Pacific,KTM,JFK,2023-11-16,2023-11-17,3900,1,50
Emirates,KTM,JFK,2023-11-16,2023-11-16,1824,2,48
Emirates,KTM,JFK,2023-11-16,2023-11-17,950,2,25
Qatar Airways,KTM,JFK,2023-11-16,2023-11-19,1092,1,26
China Southern,KTM,JFK,2023-11-16,2023-11-17,1440,2,45
Cathay Pacific,KTM,JFK,2023-11-16,2023-11-17,1716,1,22
China Southern,KTM,JFK,2023-11-16,2023-11-18,1953,1,31
Cathay Pacific,KTM,JFK,2023-11-16,2023-11-16,1794,3,23
Qatar Airways,KTM,JFK,2023-11-17,2023-11-19,2160,1,48
Etihad,KTM,JFK,2023-11-17,2023-11-18,1885,2,29
Turkish Airlines,KTM,JFK,2023-11-17,2023-11-19,3024,2,42
China Southern,KTM,JFK,2023-11-17,2023-11-17,2795,2,43
Turkish Airlines,KTM,JFK,2023-11-17,2023-11-20,2160,2,30
Turkish Airlines,KTM,JFK,2023-11-17,2023-11-19,2232,2,31
Korean Air,KTM,JFK,2023-11-17,2023-11-18,1239,3,21
Emirates,KTM,JFK,2023-11-17,2023-11-17,1880,3,47
Etihad,KTM,JFK,2023-11-17,2023-11-18,2925,3,45
Etihad,KTM,JFK,2023-11-17,2023-11-19,1430,2,22
Etihad,KTM,JFK,2023-11-17,2023-11-18,1365,2,21
Korean Air,KTM,JFK,2023-11-17,2023-11-19,2832,2,48
Korean Air,KTM,JFK,2023-11-17,2023-11-20,2242,2,38
Korean Air,KTM,JFK,2023-11-17,2023-11-19,2655,3,45
Qatar Airways,KTM,JFK,2023-11-17,2023-11-20,2250,3,50
Emirates,KTM,JFK,2023-11-17,2023-11-19,1760,1,44
China Southern,KTM,JFK,2023-11-17,2023-11-17,1625,2,25
Cathay Pacific,KTM,JFK,2023-11-17,2023-11-17,3588,2,46
China Southern,KTM,JFK,2023-11-17,2023-11-18,1628,1,44
Qatar Airways,KTM,JFK,2023-11-17,2023-11-19,1305,1,29
China Southern,KTM,JFK,2023-11-17,2023-11-19,1560,3,24
China Southern,KTM,JFK,2023-11-17,2023-11-19,999,3,27
Korean Air,KTM,JFK,2023-11-17,2023-11-17,2655,3,45
Emirates,KTM,JFK,2023-11-17,2023-11-18,1840,3,46
Qatar Airways,KTM,JFK,2023-11-17,2023-11-18,1035,3,23
China Southern,KTM,JFK,2023-11-17,2023-11-17,888,1,24
China Southern,KTM,JFK,2023-11-17,2023-11-19,3250,2,50
Turkish Airlines,KTM,JFK,2023-11-17,2023-11-19,2664,1,37
Cathay Pacific,KTM,JFK,2023-11-17,2023-11-17,3276,2,42
Emirates,KTM,JFK,2023-11-17,2023-11-18,1040,3,26
Emirates,KTM,JFK,2023-11-17,2023-11-20,1240,1,31
Qatar Airways,KTM,JFK,2023-11-17,2023-11-20,2250,3,50
China Southern,KTM,JFK,2023-11-17,2023-11-19,962,3,26
Cathay Pacific,KTM,JFK,2023-11-17,2023-11-20,3510,2,45
China Southern,KTM,JFK,2023-11-17,2023-11-19,1430,3,22
Cathay Pacific,KTM,JFK,2023-11-17,2023-11-19,3432,3,44
Cathay Pacific,KTM,JFK,2023-11-19,2023-11-22,1560,3,20
China Southern,KTM,JFK,2023-11-19,2023-11-20,2275,1,35
Cathay Pacific,KTM,JFK,2023-11-19,2023-11-20,2574,1,33
Korean Air,KTM,JFK,2023-11-19,2023-11-21,2065,3,35
Turkish Airlines,KTM,JFK,2023-11-19,2023-11-19,3600,3,50
Turkish Airlines,KTM,JFK,2023-11-19,2023-11-19,1800,1,25
China Southern,KTM,JFK,2023-11-19,2023-11-22,924,1,22
Etihad,KTM,JFK,2023-11-19,2023-11-22,2860,3,44
Korean Air,KTM,JFK,2023-11-19,2023-11-20,1829,3,31
Etihad,KTM,JFK,2023-11-19,2023-11-21,1755,2,27
Korean Air,KTM,JFK,2023-11-19,2023-11-20,2596,3,44
Cathay Pacific,KTM,JFK,2023-11-19,2023-11-19,2418,1,31
Korean Air,KTM,JFK,2023-11-19,2023-11-22,2891,1,49
Qatar Airways,KTM,JFK,2023-11-19,2023-11-22,1395,1,31
China Southern,KTM,JFK,2023-11-19,2023-11-20,2100,3,50
Turkish Airlines,KTM,JFK,2023-11-19,2023-11-21,3312,1,46
China Southern,KTM,JFK,2023-11-19,2023-11-21,1755,1,27
Qatar Airways,KTM,JFK,2023-11-19,2023-11-20,2205,3,49
Etihad,KTM,JFK,2023-11-19,2023-11-19,2275,1,35
China Southern,KTM,JFK,2023-11-19,2023-11-21,966,1,23
China Southern,KTM,JFK,2023-11-19,2023-11-22,1470,1,35
Emirates,KTM,JFK,2023-11-19,2023-11-20,1760,2,44
Emirates,KTM,JFK,2023-11-19,2023-11-22,1600,1,40
Qatar Airways,KTM,JFK,2023-11-19,2023-11-20,2115,1,47
Qatar Airways,KTM,JFK,2023-11-19,2023-11-19,2205,3,49
Korean Air,KTM,JFK,2023-11-19,2023-11-22,2124,2,36
Korean Air,KTM,JFK,2023-11-19,2023-11-22,2891,1,49
Qatar Airways,KTM,JFK,2023-11-19,2023-11-22,1710,2,38
Turkish Airlines,KTM,JFK,2023-11-19,2023-11-22,2520,1,35
Etihad,KTM,JFK,2023-11-21,2023-11-22,1885,1,29
China Southern,KTM,JFK,2023-11-21,2023-11-22,1008,3,24
Cathay Pacific,KTM,JFK,2023-11-21,2023-11-24,3432,3,44
Cathay Pacific,KTM,JFK,2023-11-21,2023-11-22,3276,1,42
Turkish Airlines,KTM,JFK,2023-11-21,2023-11-23,3456,3,48
Korean Air,KTM,JFK,2023-11-21,2023-11-23,1711,3,29
Korean Air,KTM,JFK,2023-11-21,2023-11-21,2360,3,40
Korean Air,KTM,JFK,2023-11-21,2023-11-24,2596,1,44
Emirates,KTM,JFK,2023-11-21,2023-11-24,1560,2,39
China Southern,KTM,JFK,2023-11-21,2023-11-22,1974,1,47
China Southern,KTM,JFK,2023-11-21,2023-11-24,2535,1,39
Korean Air,KTM,JFK,2023-11-21,2023-11-24,2006,1,34
Emirates,KTM,JFK,2023-11-21,2023-11-21,1960,3,49
Etihad,KTM,JFK,2023-11-21,2023-11-24,1365,1,21
China Southern,KTM,JFK,2023-11-21,2023-11-21,840,3,20
Cathay Pacific,KTM,JFK,2023-11-21,2023-11-23,1794,2,23
China Southern,KTM,JFK,2023-11-21,2023-11-24,966,2,23
China Southern,KTM,JFK,2023-11-21,2023-11-22,2990,3,46
China Southern,KTM,JFK,2023-11-21,2023-11-21,2080,3,32
Emirates,KTM,JFK,2023-11-21,2023-11-21,1320,1,33
Qatar Airways,KTM,JFK,2023-11-21,2023-11-23,1620,3,36
Turkish Airlines,KTM,JFK,2023-11-21,2023-11-23,2448,2,34
Korean Air,KTM,JFK,2023-11-21,2023-11-21,2183,2,37
Qatar Airways,KTM,JFK,2023-11-21,2023-11-21,1260,2,28
Etihad,KTM,JFK,2023-11-21,2023-11-23,1365,2,21
Etihad,KTM,JFK,2023-11-21,2023-11-23,1550,2,25
China Southern,KTM,JFK,2023-11-21,2023-11-24,1476,3,36
Cathay Pacific,KTM,JFK,2023-11-21,2023-11-21,2250,1,30
Cathay Pacific,KTM,JFK,2023-11-21,2023-11-24,3225,2,43
Turkish Airlines,KTM,JFK,2023-11-21,2023-11-24,1750,2,25
Korean Air,KTM,JFK,2023-11-21,2023-11-22,1210,3,22
Korean Air,KTM,JFK,2023-11-21,2023-11-24,1320,3,24
Korean Air,KTM,JFK,2023-11-21,2023-11-21,2255,1,41
Emirates,KTM,JFK,2023-11-21,2023-11-21,912,2,24
China Southern,KTM,JFK,2023-11-21,2023-11-21,1886,1,46
China Southern,KTM,JFK,2023-11-21,2023-11-24,2146,3,37
Korean Air,KTM,JFK,2023-11-21,2023-11-24,1320,1,24
Emirates,KTM,JFK,2023-11-21,2023-11-21,1748,2,46
Etihad,KTM,JFK,2023-11-21,2023-11-24,1798,2,29
China Southern,KTM,JFK,2023-11-21,2023-11-24,1025,2,25
Cathay Pacific,KTM,JFK,2023-11-21,2023-11-24,2250,2,30
China Southern,KTM,JFK,2023-11-21,2023-11-24,1968,1,48
China Southern,KTM,JFK,2023-11-21,2023-11-23,1682,1,29
China Southern,KTM,JFK,2023-11-21,2023-11-22,2436,1,42
Emirates,KTM,JFK,2023-11-21,2023-11-21,1862,3,49
Qatar Airways,KTM,JFK,2023-11-21,2023-11-22,1320,2,33
Turkish Airlines,KTM,JFK,2023-11-21,2023-11-24,2170,1,31
Korean Air,KTM,JFK,2023-11-21,2023-11-21,2695,3,49
Qatar Airways,KTM,JFK,2023-11-21,2023-11-24,1120,3,28
