,Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time,Seasons,Day_of_the_week,is_weekend,Flight_Class
1872,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,296.0,0,4,Autumn,Wednesday,False,Economy
1873,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,114.0,1,2,Autumn,Wednesday,False,Economy
1874,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,285.0,1,5,Autumn,Wednesday,False,Economy
1875,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,456.0,0,8,Autumn,Wednesday,False,Economy
1876,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,456.0,0,8,Autumn,Wednesday,False,Economy
1877,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,342.0,1,6,Autumn,Wednesday,False,Economy
1878,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,399.0,1,7,Autumn,Wednesday,False,Economy
1879,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,456.0,1,8,Autumn,Wednesday,False,Economy
1880,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,518.0,1,7,Autumn,Wednesday,False,Business
1881,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,228.0,1,4,Autumn,Wednesday,False,Economy
1882,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,148.0,0,2,Autumn,Wednesday,False,Economy
1883,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,399.0,1,7,Autumn,Wednesday,False,Economy
1884,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,399.0,0,7,Autumn,Wednesday,False,Economy
1885,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,228.0,1,4,Autumn,Wednesday,False,Economy
1886,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,171.0,0,3,Autumn,Wednesday,False,Economy
1887,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,114.0,0,2,Autumn,Wednesday,False,Economy
1888,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,285.0,0,5,Autumn,Wednesday,False,Economy
1889,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,171.0,1,3,Autumn,Wednesday,False,Economy
1890,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,114.0,1,2,Autumn,Wednesday,False,Economy
1891,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,370.0,1,5,Autumn,Wednesday,False,Economy
1892,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,114.0,1,2,Autumn,Wednesday,False,Economy
1893,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,342.0,1,6,Autumn,Wednesday,False,Economy
1894,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,456.0,0,8,Autumn,Wednesday,False,Economy
1895,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,114.0,0,2,Autumn,Wednesday,False,Economy
1896,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,171.0,1,3,Autumn,Wednesday,False,Economy
1897,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,171.0,1,3,Autumn,Wednesday,False,Economy
1898,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,148.0,1,2,Autumn,Wednesday,False,Economy
1899,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,444.0,0,6,Autumn,Wednesday,False,Economy
1900,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,592.0,0,8,Autumn,Wednesday,False,Business
1901,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,285.0,0,5,Autumn,Wednesday,False,Economy
1902,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,228.0,0,4,Autumn,Wednesday,False,Economy
1903,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,285.0,0,5,Autumn,Wednesday,False,Economy
1904,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,285.0,1,5,Autumn,Wednesday,False,Economy
1905,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,148.0,0,2,Autumn,Wednesday,False,Economy
1906,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,148.0,1,2,Autumn,Wednesday,False,Economy
1907,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,148.0,0,2,Autumn,Wednesday,False,Economy
1908,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,342.0,1,6,Autumn,Wednesday,False,Economy
1909,IndiGo,New Delhi,Kathmandu,2023-10-11,2023-10-11,456.0,0,8,Autumn,Wednesday,False,Economy
1910,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,148.0,0,2,Autumn,Wednesday,False,Economy
1911,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,399.0,0,7,Autumn,Wednesday,False,Economy
1912,Nepal Airlines,New Delhi,Kathmandu,2023-10-11,2023-10-11,370.0,1,5,Autumn,Wednesday,False,Economy
1913,Air India,New Delhi,Kathmandu,2023-10-11,2023-10-11,228.0,1,4,Autumn,Wednesday,False,Economy
1914,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1606.0,2,22,Autumn,Wednesday,False,First
1915,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,3792.0,1,24,Autumn,Wednesday,False,First
1916,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,4424.0,1,28,Autumn,Wednesday,False,First
1917,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1533.0,2,21,Autumn,Wednesday,False,First
1918,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,2844.0,2,18,Autumn,Wednesday,False,First
1919,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,2034.0,1,18,Autumn,Wednesday,False,First
1920,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,2759.0,1,31,Autumn,Wednesday,False,First
1921,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,2225.0,1,25,Autumn,Wednesday,False,First
1922,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1643.0,1,31,Autumn,Wednesday,False,First
1923,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,3160.0,2,20,Autumn,Wednesday,False,First
1924,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,1424.0,1,16,Autumn,Wednesday,False,First
1925,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1696.0,1,32,Autumn,Wednesday,False,First
1926,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1825.0,1,25,Autumn,Wednesday,False,First
1927,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,2808.0,1,26,Autumn,Wednesday,False,First
1928,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,2686.0,1,17,Autumn,Wednesday,False,First
1929,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1484.0,1,28,Autumn,Wednesday,False,First
1930,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1168.0,1,16,Autumn,Wednesday,False,First
1931,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,3503.0,2,31,Autumn,Wednesday,False,First
1932,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1752.0,1,24,Autumn,Wednesday,False,First
1933,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,4108.0,2,26,Autumn,Wednesday,False,First
1934,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1971.0,1,27,Autumn,Wednesday,False,First
1935,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,2263.0,1,31,Autumn,Wednesday,False,First
1936,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,1921.0,2,17,Autumn,Wednesday,False,First
1937,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1325.0,2,25,Autumn,Wednesday,False,First
1938,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,2263.0,1,31,Autumn,Wednesday,False,First
1939,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,901.0,2,17,Autumn,Wednesday,False,Business
1940,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,2403.0,2,27,Autumn,Wednesday,False,First
1941,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,1691.0,2,19,Autumn,Wednesday,False,First
1942,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,1424.0,1,16,Autumn,Wednesday,False,First
1943,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1060.0,1,20,Autumn,Wednesday,False,First
1944,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,2136.0,2,24,Autumn,Wednesday,False,First
1945,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1060.0,1,20,Autumn,Wednesday,False,First
1946,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,3160.0,2,20,Autumn,Wednesday,False,First
1947,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,4266.0,1,27,Autumn,Wednesday,False,First
1948,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1728.0,2,16,Autumn,Wednesday,False,First
1949,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,2190.0,1,30,Autumn,Wednesday,False,First
1950,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,4108.0,1,26,Autumn,Wednesday,False,First
1951,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,2044.0,2,28,Autumn,Wednesday,False,First
1952,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,2336.0,2,32,Autumn,Wednesday,False,First
1953,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1696.0,1,32,Autumn,Wednesday,False,First
1954,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,5056.0,2,32,Autumn,Wednesday,False,First
1955,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1219.0,2,23,Autumn,Wednesday,False,First
1956,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,2528.0,2,16,Autumn,Wednesday,False,First
1957,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,3277.0,1,29,Autumn,Wednesday,False,First
1958,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,4266.0,1,27,Autumn,Wednesday,False,First
1959,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1007.0,1,19,Autumn,Wednesday,False,First
1960,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,2403.0,1,27,Autumn,Wednesday,False,First
1961,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1533.0,2,21,Autumn,Wednesday,False,First
1962,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,2686.0,2,17,Autumn,Wednesday,False,First
1963,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,3318.0,1,21,Autumn,Wednesday,False,First
1964,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,3132.0,2,29,Autumn,Wednesday,False,First
1965,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,2848.0,2,32,Autumn,Wednesday,False,First
1966,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,1602.0,2,18,Autumn,Wednesday,False,First
1967,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,2825.0,1,25,Autumn,Wednesday,False,First
1968,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,3634.0,2,23,Autumn,Wednesday,False,First
1969,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,3503.0,1,31,Autumn,Wednesday,False,First
1970,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,3456.0,1,32,Autumn,Wednesday,False,First
1971,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,1869.0,1,21,Autumn,Wednesday,False,First
1972,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1728.0,1,16,Autumn,Wednesday,False,First
1973,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1696.0,2,32,Autumn,Wednesday,False,First
1974,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,2486.0,1,22,Autumn,Wednesday,False,First
1975,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,1921.0,1,17,Autumn,Wednesday,False,First
1976,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,2263.0,2,31,Autumn,Wednesday,False,First
1977,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1387.0,1,19,Autumn,Wednesday,False,First
1978,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,3348.0,2,31,Autumn,Wednesday,False,First
1979,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,4424.0,2,28,Autumn,Wednesday,False,First
1980,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,2044.0,1,28,Autumn,Wednesday,False,First
1981,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,2825.0,1,25,Autumn,Wednesday,False,First
1982,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1241.0,1,17,Autumn,Wednesday,False,First
1983,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1590.0,2,30,Autumn,Wednesday,False,First
1984,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1314.0,2,18,Autumn,Wednesday,False,First
1985,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,3348.0,1,31,Autumn,Wednesday,False,First
1986,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1241.0,1,17,Autumn,Wednesday,False,First
1987,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,3164.0,1,28,Autumn,Wednesday,False,First
1988,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1431.0,2,27,Autumn,Wednesday,False,First
1989,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,2486.0,1,22,Autumn,Wednesday,False,First
1990,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1378.0,1,26,Autumn,Wednesday,False,First
1991,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,2260.0,1,20,Autumn,Wednesday,False,First
1992,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,4740.0,1,30,Autumn,Wednesday,False,First
1993,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,2686.0,2,17,Autumn,Wednesday,False,First
1994,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1241.0,1,17,Autumn,Wednesday,False,First
1995,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,3792.0,2,24,Autumn,Wednesday,False,First
1996,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,1921.0,1,17,Autumn,Wednesday,False,First
1997,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,954.0,2,18,Autumn,Wednesday,False,Business
1998,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,3348.0,1,31,Autumn,Wednesday,False,First
1999,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,2160.0,2,20,Autumn,Wednesday,False,First
2000,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,1513.0,2,17,Autumn,Wednesday,False,First
2001,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,2190.0,1,30,Autumn,Wednesday,False,First
2002,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1166.0,1,22,Autumn,Wednesday,False,First
2003,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,2825.0,1,25,Autumn,Wednesday,False,First
2004,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1219.0,2,23,Autumn,Wednesday,False,First
2005,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,4898.0,2,31,Autumn,Wednesday,False,First
2006,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1314.0,1,18,Autumn,Wednesday,False,First
2007,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,3277.0,2,29,Autumn,Wednesday,False,First
2008,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,2225.0,1,25,Autumn,Wednesday,False,First
2009,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,3318.0,1,21,Autumn,Wednesday,False,First
2010,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,2844.0,1,18,Autumn,Wednesday,False,First
2011,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1590.0,2,30,Autumn,Wednesday,False,First
2012,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,1691.0,1,19,Autumn,Wednesday,False,First
2013,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1836.0,1,17,Autumn,Wednesday,False,First
2014,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,3132.0,1,29,Autumn,Wednesday,False,First
2015,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,2844.0,2,18,Autumn,Wednesday,False,First
2016,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,1424.0,2,16,Autumn,Wednesday,False,First
2017,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1643.0,2,31,Autumn,Wednesday,False,First
2018,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,2808.0,1,26,Autumn,Wednesday,False,First
2019,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1113.0,1,21,Autumn,Wednesday,False,First
2020,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,3950.0,1,25,Autumn,Wednesday,False,First
2021,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,3277.0,2,29,Autumn,Wednesday,False,First
2022,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,3160.0,2,20,Autumn,Wednesday,False,First
2023,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,3024.0,2,28,Autumn,Wednesday,False,First
2024,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1387.0,2,19,Autumn,Wednesday,False,First
2025,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,954.0,1,18,Autumn,Wednesday,False,Business
2026,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1241.0,2,17,Autumn,Wednesday,False,First
2027,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1168.0,2,16,Autumn,Wednesday,False,First
2028,THAI,New Delhi,Sydney,2023-10-11,2023-10-13,1679.0,2,23,Autumn,Wednesday,False,First
2029,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,5056.0,2,32,Autumn,Wednesday,False,First
2030,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,3240.0,1,30,Autumn,Wednesday,False,First
2031,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,3616.0,1,32,Autumn,Wednesday,False,First
2032,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1431.0,2,27,Autumn,Wednesday,False,First
2033,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,3634.0,1,23,Autumn,Wednesday,False,First
2034,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1387.0,2,19,Autumn,Wednesday,False,First
2035,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,1958.0,2,22,Autumn,Wednesday,False,First
2036,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-13,2686.0,1,17,Autumn,Wednesday,False,First
2037,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,4266.0,1,27,Autumn,Wednesday,False,First
2038,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,2160.0,1,20,Autumn,Wednesday,False,First
2039,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1460.0,1,20,Autumn,Wednesday,False,First
2040,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,3390.0,1,30,Autumn,Wednesday,False,First
2041,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1590.0,1,30,Autumn,Wednesday,False,First
2042,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1643.0,1,31,Autumn,Wednesday,False,First
2043,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,1808.0,2,16,Autumn,Wednesday,False,First
2044,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,3792.0,2,24,Autumn,Wednesday,False,First
2045,Air India,New Delhi,Sydney,2023-10-11,2023-10-12,3277.0,2,29,Autumn,Wednesday,False,First
2046,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-12,1113.0,2,21,Autumn,Wednesday,False,First
2047,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1113.0,2,21,Autumn,Wednesday,False,First
2048,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,3456.0,2,32,Autumn,Wednesday,False,First
2049,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1606.0,1,22,Autumn,Wednesday,False,First
2050,SriLankan Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,1643.0,1,31,Autumn,Wednesday,False,First
2051,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,4582.0,1,29,Autumn,Wednesday,False,First
2052,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,2581.0,1,29,Autumn,Wednesday,False,First
2053,Cathay Pacific,New Delhi,Sydney,2023-10-11,2023-10-12,3476.0,2,22,Autumn,Wednesday,False,First
2054,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,1958.0,2,22,Autumn,Wednesday,False,First
2055,THAI,New Delhi,Sydney,2023-10-11,2023-10-12,1752.0,1,24,Autumn,Wednesday,False,First
2056,Etihad,New Delhi,Sydney,2023-10-11,2023-10-13,1691.0,2,19,Autumn,Wednesday,False,First
2057,Air India,New Delhi,Sydney,2023-10-11,2023-10-13,2373.0,1,21,Autumn,Wednesday,False,First
2058,Malaysia Airlines,New Delhi,Sydney,2023-10-11,2023-10-13,3132.0,1,29,Autumn,Wednesday,False,First
2059,Etihad,New Delhi,Sydney,2023-10-11,2023-10-12,2403.0,1,27,Autumn,Wednesday,False,First
2060,Lufthansa,Paris,London,2023-10-11,2023-10-11,140.0,0,5,Autumn,Wednesday,False,Economy
2061,Air France,Paris,London,2023-10-11,2023-10-11,78.0,0,6,Autumn,Wednesday,False,Economy
2062,Lufthansa,Paris,London,2023-10-11,2023-10-11,140.0,0,5,Autumn,Wednesday,False,Economy
2063,Vueling,Paris,London,2023-10-11,2023-10-11,545.0,0,5,Autumn,Wednesday,False,Business
2064,Air France,Paris,London,2023-10-11,2023-10-11,78.0,1,6,Autumn,Wednesday,False,Economy
2065,SWISS,Paris,London,2023-10-11,2023-10-11,231.0,1,7,Autumn,Wednesday,False,Economy
2066,Vueling,Paris,London,2023-10-11,2023-10-11,436.0,1,4,Autumn,Wednesday,False,Economy
2067,Luxiar,Paris,London,2023-10-11,2023-10-11,112.0,1,7,Autumn,Wednesday,False,Economy
2068,Air France,Paris,London,2023-10-11,2023-10-11,52.0,0,4,Autumn,Wednesday,False,Economy
2069,Easy Jet,Paris,London,2023-10-11,2023-10-11,882.0,0,6,Autumn,Wednesday,False,Business
2070,Luxiar,Paris,London,2023-10-11,2023-10-11,80.0,0,5,Autumn,Wednesday,False,Economy
2071,Air France,Paris,London,2023-10-11,2023-10-11,104.0,0,8,Autumn,Wednesday,False,Economy
2072,Lufthansa,Paris,London,2023-10-11,2023-10-11,112.0,1,4,Autumn,Wednesday,False,Economy
2073,Luxiar,Paris,London,2023-10-11,2023-10-11,112.0,1,7,Autumn,Wednesday,False,Economy
2074,Lufthansa,Paris,London,2023-10-11,2023-10-11,140.0,1,5,Autumn,Wednesday,False,Economy
2075,Luxiar,Paris,London,2023-10-11,2023-10-11,64.0,0,4,Autumn,Wednesday,False,Economy
2076,Easy Jet,Paris,London,2023-10-11,2023-10-11,735.0,0,5,Autumn,Wednesday,False,Business
2077,Vueling,Paris,London,2023-10-11,2023-10-11,654.0,1,6,Autumn,Wednesday,False,Business
2078,Vueling,Paris,London,2023-10-11,2023-10-11,872.0,1,8,Autumn,Wednesday,False,Business
2079,Easy Jet,Paris,London,2023-10-11,2023-10-11,735.0,0,5,Autumn,Wednesday,False,Business
2080,Easy Jet,Paris,London,2023-10-11,2023-10-11,441.0,0,3,Autumn,Wednesday,False,Economy
2081,Lufthansa,Paris,London,2023-10-11,2023-10-11,112.0,1,4,Autumn,Wednesday,False,Economy
2082,Vueling,Paris,London,2023-10-11,2023-10-11,763.0,0,7,Autumn,Wednesday,False,Business
2083,Easy Jet,Paris,London,2023-10-11,2023-10-11,441.0,1,3,Autumn,Wednesday,False,Economy
2084,Lufthansa,Paris,London,2023-10-11,2023-10-11,196.0,0,7,Autumn,Wednesday,False,Economy
2085,Easy Jet,Paris,London,2023-10-11,2023-10-11,1029.0,0,7,Autumn,Wednesday,False,First
2086,Lufthansa,Paris,London,2023-10-11,2023-10-11,84.0,1,3,Autumn,Wednesday,False,Economy
2087,Lufthansa,Paris,London,2023-10-11,2023-10-11,112.0,1,4,Autumn,Wednesday,False,Economy
2088,Easy Jet,Paris,London,2023-10-11,2023-10-11,441.0,0,3,Autumn,Wednesday,False,Economy
2089,Air France,Paris,London,2023-10-11,2023-10-11,78.0,1,6,Autumn,Wednesday,False,Economy
2090,Vueling,Paris,London,2023-10-11,2023-10-11,654.0,1,6,Autumn,Wednesday,False,Business
2091,Air France,Paris,London,2023-10-11,2023-10-11,78.0,0,6,Autumn,Wednesday,False,Economy
2092,Luxiar,Paris,London,2023-10-11,2023-10-11,96.0,0,6,Autumn,Wednesday,False,Economy
2093,Air France,Paris,London,2023-10-11,2023-10-11,65.0,0,5,Autumn,Wednesday,False,Economy
2094,Vueling,Paris,London,2023-10-11,2023-10-11,545.0,1,5,Autumn,Wednesday,False,Business
2095,Vueling,Paris,London,2023-10-11,2023-10-11,654.0,0,6,Autumn,Wednesday,False,Business
2096,SWISS,Paris,London,2023-10-11,2023-10-11,198.0,0,6,Autumn,Wednesday,False,Economy
2097,Air France,Paris,London,2023-10-11,2023-10-11,39.0,1,3,Autumn,Wednesday,False,Economy
2098,Lufthansa,Paris,London,2023-10-11,2023-10-11,112.0,1,4,Autumn,Wednesday,False,Economy
2099,Air France,Paris,London,2023-10-11,2023-10-11,78.0,1,6,Autumn,Wednesday,False,Economy
2100,Air France,Paris,London,2023-10-11,2023-10-11,91.0,1,7,Autumn,Wednesday,False,Economy
2101,Vueling,Paris,London,2023-10-11,2023-10-11,654.0,1,6,Autumn,Wednesday,False,Business
2102,Lufthansa,Paris,London,2023-10-11,2023-10-11,140.0,1,5,Autumn,Wednesday,False,Economy
2103,Air France,Paris,London,2023-10-11,2023-10-11,39.0,1,3,Autumn,Wednesday,False,Economy
2104,Air France,Paris,London,2023-10-11,2023-10-11,78.0,1,6,Autumn,Wednesday,False,Economy
2105,Vueling,Paris,London,2023-10-11,2023-10-11,436.0,0,4,Autumn,Wednesday,False,Economy
2106,Luxiar,Paris,London,2023-10-11,2023-10-11,64.0,0,4,Autumn,Wednesday,False,Economy
2107,Luxiar,Paris,London,2023-10-11,2023-10-11,64.0,0,4,Autumn,Wednesday,False,Economy
2108,Air France,Paris,London,2023-10-11,2023-10-11,39.0,0,3,Autumn,Wednesday,False,Economy
2109,Vueling,Paris,London,2023-10-11,2023-10-11,436.0,0,4,Autumn,Wednesday,False,Economy
2110,Lufthansa,Paris,London,2023-10-11,2023-10-11,112.0,0,4,Autumn,Wednesday,False,Economy
