,Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time,seasons,Day_of_the_week
293,Qatar Airways,KTM,JFK,2023-10-19,2023-10-21,1419,3,43,Autumn,Thursday
294,Emirates,KTM,JFK,2023-10-19,2023-10-22,600,2,20,Autumn,Thursday
295,China Southern,KTM,JFK,2023-10-19,2023-10-20,2240,1,40,Autumn,Thursday
296,Korean Air,KTM,JFK,2023-10-19,2023-10-22,2162,1,46,Autumn,Thursday
297,Cathay Pacific,KTM,JFK,2023-10-19,2023-10-19,1428,2,21,Autumn,Thursday
298,Turkish Airlines,KTM,JFK,2023-10-19,2023-10-22,2379,3,39,Autumn,Thursday
299,Cathay Pacific,KTM,JFK,2023-10-19,2023-10-19,1496,2,22,Autumn,Thursday
300,Qatar Airways,KTM,JFK,2023-10-19,2023-10-19,1320,3,40,Autumn,Thursday
301,China Southern,KTM,JFK,2023-10-19,2023-10-23,1568,1,28,Autumn,Thursday
302,Cathay Pacific,KTM,JFK,2023-10-19,2023-10-22,2380,2,35,Autumn,Thursday
303,Korean Air,KTM,JFK,2023-10-19,2023-10-19,2162,3,46,Autumn,Thursday
304,Emirates,KTM,JFK,2023-10-19,2023-10-21,960,1,32,Autumn,Thursday
305,Etihad,KTM,JFK,2023-10-19,2023-10-19,1755,3,39,Autumn,Thursday
306,Qatar Airways,KTM,JFK,2023-10-19,2023-10-22,990,1,30,Autumn,Thursday
307,Emirates,KTM,JFK,2023-10-19,2023-10-20,900,3,30,Autumn,Thursday
308,China Southern,KTM,JFK,2023-10-19,2023-10-23,1344,1,24,Autumn,Thursday
309,Turkish Airlines,KTM,JFK,2023-10-19,2023-10-21,1708,3,28,Autumn,Thursday
310,China Southern,KTM,JFK,2023-10-19,2023-10-22,756,2,21,Autumn,Thursday
311,Emirates,KTM,JFK,2023-10-19,2023-10-20,600,2,20,Autumn,Thursday
312,Qatar Airways,KTM,JFK,2023-10-19,2023-10-19,1419,2,43,Autumn,Thursday
313,China Southern,KTM,JFK,2023-10-19,2023-10-20,1044,1,29,Autumn,Thursday
314,China Southern,KTM,JFK,2023-10-19,2023-10-21,1368,1,38,Autumn,Thursday
315,China Southern,KTM,JFK,2023-10-19,2023-10-21,1624,1,29,Autumn,Thursday
316,China Southern,KTM,JFK,2023-10-19,2023-10-22,1728,3,48,Autumn,Thursday
317,Cathay Pacific,KTM,JFK,2023-10-23,2023-10-24,2001,2,29,Autumn,Monday
318,China Southern,KTM,JFK,2023-10-23,2023-10-25,1705,2,31,Autumn,Monday
319,China Southern,KTM,JFK,2023-10-23,2023-10-24,1650,3,30,Autumn,Monday
320,Cathay Pacific,KTM,JFK,2023-10-23,2023-10-24,3174,2,46,Autumn,Monday
321,Emirates,KTM,JFK,2023-10-23,2023-10-23,928,1,29,Autumn,Monday
322,Etihad,KTM,JFK,2023-10-23,2023-10-24,1610,3,35,Autumn,Monday
323,China Southern,KTM,JFK,2023-10-23,2023-10-25,2310,3,42,Autumn,Monday
324,Emirates,KTM,JFK,2023-10-23,2023-10-25,1376,3,43,Autumn,Monday
325,Qatar Airways,KTM,JFK,2023-10-23,2023-10-23,777,1,21,Autumn,Monday
326,Korean Air,KTM,JFK,2023-10-23,2023-10-25,1392,3,29,Autumn,Monday
327,China Southern,KTM,JFK,2023-10-23,2023-10-24,1170,1,30,Autumn,Monday
328,China Southern,KTM,JFK,2023-10-23,2023-10-26,1599,2,41,Autumn,Monday
329,Emirates,KTM,JFK,2023-10-23,2023-10-26,1568,2,49,Autumn,Monday
330,Emirates,KTM,JFK,2023-10-23,2023-10-23,1312,3,41,Autumn,Monday
331,Emirates,KTM,JFK,2023-10-23,2023-10-25,1088,1,34,Autumn,Monday
332,Etihad,KTM,JFK,2023-10-23,2023-10-26,1748,3,38,Autumn,Monday
333,Qatar Airways,KTM,JFK,2023-10-23,2023-10-23,1665,3,45,Autumn,Monday
334,Turkish Airlines,KTM,JFK,2023-10-23,2023-10-26,1984,1,32,Autumn,Monday
335,China Southern,KTM,JFK,2023-10-23,2023-10-24,1375,1,25,Autumn,Monday
336,Qatar Airways,KTM,JFK,2023-10-23,2023-10-24,1739,1,47,Autumn,Monday
337,China Southern,KTM,JFK,2023-10-23,2023-10-25,1872,3,48,Autumn,Monday
338,Korean Air,KTM,JFK,2023-10-27,2023-10-26,1980,1,44,Autumn,Friday
339,Emirates,KTM,JFK,2023-10-27,2023-10-27,924,3,33,Autumn,Friday
340,Cathay Pacific,KTM,JFK,2023-10-27,2023-10-25,3128,3,46,Autumn,Friday
341,Emirates,KTM,JFK,2023-10-27,2023-10-27,1092,1,39,Autumn,Friday
342,Korean Air,KTM,JFK,2023-10-27,2023-10-27,1080,3,24,Autumn,Friday
343,Turkish Airlines,KTM,JFK,2023-10-27,2023-10-25,2478,3,42,Autumn,Friday
344,Etihad,KTM,JFK,2023-10-27,2023-10-25,1196,3,23,Autumn,Friday
345,Korean Air,KTM,JFK,2023-10-27,2023-10-26,1035,1,23,Autumn,Friday
346,Cathay Pacific,KTM,JFK,2023-10-27,2023-10-27,2992,2,44,Autumn,Friday
347,Etihad,KTM,JFK,2023-10-27,2023-10-26,1352,1,26,Autumn,Friday
348,Turkish Airlines,KTM,JFK,2023-10-27,2023-10-26,1475,3,25,Autumn,Friday
349,Emirates,KTM,JFK,2023-10-27,2023-10-25,728,1,26,Autumn,Friday
350,China Southern,KTM,JFK,2023-10-27,2023-10-26,1056,1,33,Autumn,Friday
351,China Southern,KTM,JFK,2023-10-27,2023-10-25,2067,1,39,Autumn,Friday
352,Qatar Airways,KTM,JFK,2023-10-27,2023-10-26,928,3,29,Autumn,Friday
353,China Southern,KTM,JFK,2023-10-27,2023-10-25,1802,3,34,Autumn,Friday
354,Etihad,KTM,JFK,2023-10-27,2023-10-27,1560,1,30,Autumn,Friday
355,Korean Air,KTM,JFK,2023-10-27,2023-10-24,1800,3,40,Autumn,Friday
356,Emirates,KTM,JFK,2023-10-27,2023-10-24,1120,3,40,Autumn,Friday
357,Qatar Airways,KTM,JFK,2023-10-27,2023-10-25,800,2,25,Autumn,Friday
358,Etihad,KTM,JFK,2023-10-27,2023-10-26,1612,3,31,Autumn,Friday
359,China Southern,KTM,JFK,2023-10-27,2023-10-24,1376,2,43,Autumn,Friday
360,Turkish Airlines,KTM,JFK,2023-10-27,2023-10-27,1298,3,22,Autumn,Friday
361,Etihad,KTM,JFK,2023-10-27,2023-10-24,2548,2,49,Autumn,Friday
362,Qatar Airways,KTM,JFK,2023-10-27,2023-10-27,1504,1,47,Autumn,Friday
363,Emirates,KTM,JFK,2023-10-27,2023-10-27,1148,3,41,Autumn,Friday
364,Qatar Airways,KTM,JFK,2023-10-27,2023-10-25,1536,1,48,Autumn,Friday
365,Qatar Airways,KTM,JFK,2023-10-27,2023-10-26,1344,2,42,Autumn,Friday
366,China Southern,KTM,JFK,2023-10-27,2023-10-27,1590,3,30,Autumn,Friday
367,China Southern,KTM,JFK,2023-10-27,2023-10-26,1643,1,31,Autumn,Friday
368,Qatar Airways,KTM,JFK,2023-10-27,2023-10-24,768,2,24,Autumn,Friday
369,Korean Air,KTM,JFK,2023-10-27,2023-10-27,1305,3,29,Autumn,Friday
370,Turkish Airlines,KTM,JFK,2023-10-26,2023-10-27,2596,3,44,Autumn,Thursday
371,China Southern,KTM,JFK,2023-10-26,2023-10-27,1113,1,21,Autumn,Thursday
372,Cathay Pacific,KTM,JFK,2023-10-26,2023-10-26,1904,3,28,Autumn,Thursday
373,China Southern,KTM,JFK,2023-10-26,2023-10-29,2438,3,46,Autumn,Thursday
374,Turkish Airlines,KTM,JFK,2023-10-26,2023-10-29,1416,3,24,Autumn,Thursday
375,Etihad,KTM,JFK,2023-10-26,2023-10-26,2548,3,49,Autumn,Thursday
376,China Southern,KTM,JFK,2023-10-26,2023-10-29,736,2,23,Autumn,Thursday
377,Turkish Airlines,KTM,JFK,2023-10-26,2023-10-26,2714,2,46,Autumn,Thursday
378,Cathay Pacific,KTM,JFK,2023-10-26,2023-10-28,2924,1,43,Autumn,Thursday
379,Etihad,KTM,JFK,2023-10-26,2023-10-26,1456,2,28,Autumn,Thursday
380,Etihad,KTM,JFK,2023-10-26,2023-10-29,1872,3,36,Autumn,Thursday
381,China Southern,KTM,JFK,2023-10-26,2023-10-26,1643,1,31,Autumn,Thursday
382,China Southern,KTM,JFK,2023-10-26,2023-10-27,1376,3,43,Autumn,Thursday
383,Korean Air,KTM,JFK,2023-10-26,2023-10-27,1620,2,36,Autumn,Thursday
384,Emirates,KTM,JFK,2023-10-26,2023-10-28,1344,3,48,Autumn,Thursday
385,Korean Air,KTM,JFK,2023-10-26,2023-10-28,1125,2,25,Autumn,Thursday
386,China Southern,KTM,JFK,2023-10-26,2023-10-29,1472,1,46,Autumn,Thursday
387,Korean Air,KTM,JFK,2023-10-26,2023-10-29,2025,2,45,Autumn,Thursday
388,Emirates,KTM,JFK,2023-10-26,2023-10-26,1008,2,36,Autumn,Thursday
389,Qatar Airways,KTM,JFK,2023-10-26,2023-10-28,1472,1,46,Autumn,Thursday
390,Etihad,KTM,JFK,2023-10-26,2023-10-29,2444,2,47,Autumn,Thursday
391,China Southern,KTM,JFK,2023-10-26,2023-10-27,1472,2,46,Autumn,Thursday
392,Etihad,KTM,JFK,2023-10-26,2023-10-27,1456,1,28,Autumn,Thursday
393,Emirates,KTM,JFK,2023-10-26,2023-10-29,868,2,31,Autumn,Thursday
394,Emirates,KTM,JFK,2023-10-26,2023-10-28,728,1,26,Autumn,Thursday
395,Emirates,KTM,JFK,2023-10-26,2023-10-26,672,3,24,Autumn,Thursday
396,Qatar Airways,KTM,JFK,2023-10-26,2023-10-27,1472,2,46,Autumn,Thursday
397,Korean Air,KTM,JFK,2023-10-26,2023-10-29,1035,2,23,Autumn,Thursday
398,China Southern,KTM,JFK,2023-10-26,2023-10-29,1855,2,35,Autumn,Thursday
399,Qatar Airways,KTM,JFK,2023-10-26,2023-10-28,1600,1,50,Autumn,Thursday
400,Korean Air,KTM,JFK,2023-10-26,2023-10-28,1395,3,31,Autumn,Thursday
401,Qatar Airways,KTM,JFK,2023-10-28,2023-10-30,1089,2,33,Autumn,Saturday
402,Etihad,KTM,JFK,2023-10-28,2023-10-29,1815,1,33,Autumn,Saturday
403,Turkish Airlines,KTM,JFK,2023-10-28,2023-10-28,1240,3,20,Autumn,Saturday
404,China Southern,KTM,JFK,2023-10-28,2023-10-31,1760,3,32,Autumn,Saturday
405,Etihad,KTM,JFK,2023-10-28,2023-10-30,2750,2,50,Autumn,Saturday
406,Turkish Airlines,KTM,JFK,2023-10-28,2023-10-29,2108,3,34,Autumn,Saturday
407,Korean Air,KTM,JFK,2023-10-28,2023-10-31,1645,2,35,Autumn,Saturday
408,Emirates,KTM,JFK,2023-10-28,2023-10-29,1450,1,50,Autumn,Saturday
409,Etihad,KTM,JFK,2023-10-28,2023-10-30,2640,3,48,Autumn,Saturday
410,Korean Air,KTM,JFK,2023-10-28,2023-10-29,2256,2,48,Autumn,Saturday
411,Etihad,KTM,JFK,2023-10-28,2023-10-28,1650,1,30,Autumn,Saturday
412,Turkish Airlines,KTM,JFK,2023-10-28,2023-10-31,1302,2,21,Autumn,Saturday
413,Turkish Airlines,KTM,JFK,2023-10-28,2023-10-29,1674,1,27,Autumn,Saturday
414,Korean Air,KTM,JFK,2023-10-28,2023-10-29,1692,2,36,Autumn,Saturday
415,Etihad,KTM,JFK,2023-10-28,2023-10-28,2145,2,39,Autumn,Saturday
416,Qatar Airways,KTM,JFK,2023-10-28,2023-10-31,1122,3,34,Autumn,Saturday
417,Emirates,KTM,JFK,2023-10-28,2023-10-31,1015,3,35,Autumn,Saturday
418,China Southern,KTM,JFK,2023-10-28,2023-10-29,2640,3,48,Autumn,Saturday
419,Korean Air,KTM,JFK,2023-10-28,2023-10-31,1269,2,27,Autumn,Saturday
420,Cathay Pacific,KTM,JFK,2023-10-28,2023-10-29,2210,3,34,Autumn,Saturday
421,Cathay Pacific,KTM,JFK,2023-10-28,2023-10-29,1690,3,26,Autumn,Saturday
422,Qatar Airways,KTM,JFK,2023-10-28,2023-10-28,1188,1,36,Autumn,Saturday
423,China Southern,KTM,JFK,2023-10-28,2023-10-29,1155,3,21,Autumn,Saturday
424,Cathay Pacific,KTM,JFK,2023-10-28,2023-10-30,1495,3,23,Autumn,Saturday
425,Korean Air,KTM,JFK,2023-10-28,2023-10-31,1551,3,33,Autumn,Saturday
426,Emirates,KTM,JFK,2023-10-28,2023-10-29,638,3,22,Autumn,Saturday
427,Qatar Airways,KTM,JFK,2023-10-28,2023-10-29,1254,1,38,Autumn,Saturday
428,China Southern,KTM,JFK,2023-10-28,2023-10-28,1085,1,31,Autumn,Saturday
429,China Southern,KTM,JFK,2023-10-28,2023-10-31,1815,2,33,Autumn,Saturday
430,Turkish Airlines,KTM,JFK,2023-10-28,2023-10-31,1488,2,24,Autumn,Saturday
431,Cathay Pacific,KTM,JFK,2023-10-28,2023-10-29,2990,1,46,Autumn,Saturday
432,Emirates,KTM,JFK,2023-10-28,2023-10-31,696,2,24,Autumn,Saturday
433,Emirates,KTM,JFK,2023-10-28,2023-10-31,928,2,32,Autumn,Saturday
434,Qatar Airways,KTM,JFK,2023-10-28,2023-10-31,858,3,26,Autumn,Saturday
435,China Southern,KTM,JFK,2023-10-28,2023-10-30,1330,3,38,Autumn,Saturday
436,China Southern,KTM,JFK,2023-10-28,2023-10-28,735,3,21,Autumn,Saturday
437,China Southern,KTM,JFK,2023-10-28,2023-10-30,2365,3,43,Autumn,Saturday
438,China Southern,KTM,JFK,2023-10-28,2023-10-28,1575,3,45,Autumn,Saturday
439,Qatar Airways,KTM,JFK,2023-10-31,2023-11-02,1408,2,44,Autumn,Tuesday
440,Etihad,KTM,JFK,2023-10-31,2023-11-01,1275,2,25,Autumn,Tuesday
441,Turkish Airlines,KTM,JFK,2023-10-31,2023-11-03,2160,3,36,Autumn,Tuesday
442,China Southern,KTM,JFK,2023-10-31,2023-11-02,2279,1,43,Autumn,Tuesday
443,Etihad,KTM,JFK,2023-10-31,2023-10-31,2448,1,48,Autumn,Tuesday
444,Turkish Airlines,KTM,JFK,2023-10-31,2023-10-31,1860,2,31,Autumn,Tuesday
445,Korean Air,KTM,JFK,2023-10-31,2023-11-03,1144,3,26,Autumn,Tuesday
446,Emirates,KTM,JFK,2023-10-31,2023-11-02,784,1,28,Autumn,Tuesday
447,Etihad,KTM,JFK,2023-10-31,2023-11-01,1836,1,36,Autumn,Tuesday
448,Korean Air,KTM,JFK,2023-10-31,2023-11-01,1056,1,24,Autumn,Tuesday
449,Etihad,KTM,JFK,2023-10-31,2023-11-03,1785,1,35,Autumn,Tuesday
450,Turkish Airlines,KTM,JFK,2023-10-31,2023-11-01,3000,1,50,Autumn,Tuesday
451,Turkish Airlines,KTM,JFK,2023-10-31,2023-10-31,1380,3,23,Autumn,Tuesday
452,Korean Air,KTM,JFK,2023-10-31,2023-10-31,1100,1,25,Autumn,Tuesday
453,Etihad,KTM,JFK,2023-10-31,2023-10-31,1122,2,22,Autumn,Tuesday
454,Qatar Airways,KTM,JFK,2023-10-31,2023-11-01,1376,2,43,Autumn,Tuesday
455,Emirates,KTM,JFK,2023-10-31,2023-10-31,756,1,27,Autumn,Tuesday
456,China Southern,KTM,JFK,2023-10-31,2023-11-01,1749,2,33,Autumn,Tuesday
457,Korean Air,KTM,JFK,2023-10-31,2023-10-31,1100,2,25,Autumn,Tuesday
458,Cathay Pacific,KTM,JFK,2023-10-31,2023-11-01,1800,2,30,Autumn,Tuesday
459,Cathay Pacific,KTM,JFK,2023-10-31,2023-11-01,2340,1,39,Autumn,Tuesday
460,Qatar Airways,KTM,JFK,2023-10-31,2023-11-03,1216,2,38,Autumn,Tuesday
461,China Southern,KTM,JFK,2023-10-31,2023-11-02,1749,2,33,Autumn,Tuesday
462,Cathay Pacific,KTM,JFK,2023-10-31,2023-10-31,1200,2,20,Autumn,Tuesday
463,Korean Air,KTM,JFK,2023-10-31,2023-10-31,2200,2,50,Autumn,Tuesday
464,Emirates,KTM,JFK,2023-10-31,2023-11-03,644,2,23,Autumn,Tuesday
465,Qatar Airways,KTM,JFK,2023-10-31,2023-10-31,1312,1,41,Autumn,Tuesday
466,China Southern,KTM,JFK,2023-10-31,2023-11-02,1248,2,39,Autumn,Tuesday
467,China Southern,KTM,JFK,2023-10-31,2023-11-03,1113,2,21,Autumn,Tuesday
468,Turkish Airlines,KTM,JFK,2023-10-31,2023-11-03,2460,1,41,Autumn,Tuesday
469,Cathay Pacific,KTM,JFK,2023-10-31,2023-11-01,1620,1,27,Autumn,Tuesday
470,Emirates,KTM,JFK,2023-10-31,2023-11-03,1008,3,36,Autumn,Tuesday
471,Emirates,KTM,JFK,2023-10-31,2023-11-01,1008,2,36,Autumn,Tuesday
472,Qatar Airways,KTM,JFK,2023-10-31,2023-11-02,1504,2,47,Autumn,Tuesday
473,China Southern,KTM,JFK,2023-10-31,2023-11-01,736,1,23,Autumn,Tuesday
474,China Southern,KTM,JFK,2023-10-31,2023-11-01,768,2,24,Autumn,Tuesday
475,China Southern,KTM,JFK,2023-10-31,2023-11-03,2332,1,44,Autumn,Tuesday
476,China Southern,KTM,JFK,2023-10-31,2023-10-31,864,3,27,Autumn,Tuesday
477,Etihad,KTM,JFK,2023-11-01,2023-11-04,1989,2,39,Autumn,Wednesday
478,China Southern,KTM,JFK,2023-11-01,2023-11-04,1855,3,35,Autumn,Wednesday
479,Cathay Pacific,KTM,JFK,2023-11-01,2023-11-02,1800,2,30,Autumn,Wednesday
480,Korean Air,KTM,JFK,2023-11-01,2023-11-01,1100,3,25,Autumn,Wednesday
481,Cathay Pacific,KTM,JFK,2023-11-01,2023-11-01,1920,2,32,Autumn,Wednesday
482,Etihad,KTM,JFK,2023-11-01,2023-11-02,1581,2,31,Autumn,Wednesday
483,Cathay Pacific,KTM,JFK,2023-11-01,2023-11-03,2220,1,37,Autumn,Wednesday
484,Cathay Pacific,KTM,JFK,2023-11-01,2023-11-03,2520,1,42,Autumn,Wednesday
485,Turkish Airlines,KTM,JFK,2023-11-01,2023-11-03,2760,2,46,Autumn,Wednesday
486,China Southern,KTM,JFK,2023-11-01,2023-11-01,1536,2,48,Autumn,Wednesday
487,Etihad,KTM,JFK,2023-11-01,2023-11-04,2091,3,41,Autumn,Wednesday
488,Qatar Airways,KTM,JFK,2023-11-01,2023-11-04,1536,3,48,Autumn,Wednesday
489,China Southern,KTM,JFK,2023-11-01,2023-11-03,1248,3,39,Autumn,Wednesday
490,China Southern,KTM,JFK,2023-11-01,2023-11-02,2597,1,49,Autumn,Wednesday
491,Korean Air,KTM,JFK,2023-11-01,2023-11-03,1584,2,36,Autumn,Wednesday
492,Etihad,KTM,JFK,2023-11-01,2023-11-03,1428,1,28,Autumn,Wednesday
493,Qatar Airways,KTM,JFK,2023-11-01,2023-11-01,800,3,25,Autumn,Wednesday
494,China Southern,KTM,JFK,2023-11-01,2023-11-04,704,3,22,Autumn,Wednesday
495,Cathay Pacific,KTM,JFK,2023-11-01,2023-11-02,1380,3,23,Autumn,Wednesday
496,China Southern,KTM,JFK,2023-11-01,2023-11-03,992,3,31,Autumn,Wednesday
497,Emirates,KTM,JFK,2023-11-01,2023-11-04,924,3,33,Autumn,Wednesday
498,China Southern,KTM,JFK,2023-11-01,2023-11-04,2650,1,50,Autumn,Wednesday
499,Emirates,KTM,JFK,2023-11-01,2023-11-04,1372,1,49,Autumn,Wednesday
500,Qatar Airways,KTM,JFK,2023-11-01,2023-11-02,1152,2,36,Autumn,Wednesday
501,Turkish Airlines,KTM,JFK,2023-11-01,2023-11-02,1500,3,25,Autumn,Wednesday
502,Korean Air,KTM,JFK,2023-11-01,2023-11-04,2200,2,50,Autumn,Wednesday
503,Qatar Airways,KTM,JFK,2023-11-01,2023-11-03,736,3,23,Autumn,Wednesday
504,Etihad,KTM,JFK,2023-11-01,2023-11-03,1275,2,25,Autumn,Wednesday
505,China Southern,KTM,JFK,2023-11-03,2023-11-03,672,2,21,Autumn,Friday
506,China Southern,KTM,JFK,2023-11-03,2023-11-05,736,2,23,Autumn,Friday
507,China Southern,KTM,JFK,2023-11-03,2023-11-03,960,3,30,Autumn,Friday
508,China Southern,KTM,JFK,2023-11-03,2023-11-06,1113,3,21,Autumn,Friday
509,China Southern,KTM,JFK,2023-11-03,2023-11-04,1961,3,37,Autumn,Friday
510,China Southern,KTM,JFK,2023-11-03,2023-11-05,2279,1,43,Autumn,Friday
511,Qatar Airways,KTM,JFK,2023-11-03,2023-11-03,992,3,31,Autumn,Friday
512,Korean Air,KTM,JFK,2023-11-03,2023-11-03,968,2,22,Autumn,Friday
513,Cathay Pacific,KTM,JFK,2023-11-03,2023-11-04,1200,3,20,Autumn,Friday
514,Emirates,KTM,JFK,2023-11-03,2023-11-04,728,2,26,Autumn,Friday
515,Qatar Airways,KTM,JFK,2023-11-03,2023-11-06,1536,1,48,Autumn,Friday
516,Turkish Airlines,KTM,JFK,2023-11-03,2023-11-04,2220,1,37,Autumn,Friday
517,China Southern,KTM,JFK,2023-11-03,2023-11-03,1472,1,46,Autumn,Friday
518,Turkish Airlines,KTM,JFK,2023-11-03,2023-11-03,2820,1,47,Autumn,Friday
519,Emirates,KTM,JFK,2023-11-03,2023-11-03,1372,3,49,Autumn,Friday
520,Emirates,KTM,JFK,2023-11-03,2023-11-06,1288,1,46,Autumn,Friday
521,Qatar Airways,KTM,JFK,2023-11-03,2023-11-03,1600,3,50,Autumn,Friday
522,Qatar Airways,KTM,JFK,2023-11-03,2023-11-04,704,3,22,Autumn,Friday
523,Korean Air,KTM,JFK,2023-11-03,2023-11-03,1320,3,30,Autumn,Friday
524,Korean Air,KTM,JFK,2023-11-03,2023-11-03,1320,1,30,Autumn,Friday
525,Qatar Airways,KTM,JFK,2023-11-03,2023-11-03,960,2,30,Autumn,Friday
526,Etihad,KTM,JFK,2023-11-03,2023-11-06,2091,1,41,Autumn,Friday
527,Turkish Airlines,KTM,JFK,2023-11-05,2023-11-05,1200,2,20,Autumn,Sunday
528,China Southern,KTM,JFK,2023-11-05,2023-11-05,1440,3,45,Autumn,Sunday
529,Cathay Pacific,KTM,JFK,2023-11-05,2023-11-08,2880,2,48,Autumn,Sunday
530,China Southern,KTM,JFK,2023-11-05,2023-11-06,1344,3,42,Autumn,Sunday
531,Turkish Airlines,KTM,JFK,2023-11-05,2023-11-08,1680,2,28,Autumn,Sunday
532,Korean Air,KTM,JFK,2023-11-05,2023-11-08,1056,3,24,Autumn,Sunday
533,China Southern,KTM,JFK,2023-11-05,2023-11-07,2173,3,41,Autumn,Sunday
534,China Southern,KTM,JFK,2023-11-05,2023-11-05,1060,2,20,Autumn,Sunday
535,Emirates,KTM,JFK,2023-11-05,2023-11-06,1344,2,48,Autumn,Sunday
536,China Southern,KTM,JFK,2023-11-05,2023-11-08,864,1,27,Autumn,Sunday
537,China Southern,KTM,JFK,2023-11-05,2023-11-08,1219,2,23,Autumn,Sunday
538,Korean Air,KTM,JFK,2023-11-05,2023-11-06,1980,2,45,Autumn,Sunday
539,Qatar Airways,KTM,JFK,2023-11-05,2023-11-05,1600,1,50,Autumn,Sunday
540,Etihad,KTM,JFK,2023-11-05,2023-11-06,1887,3,37,Autumn,Sunday
541,China Southern,KTM,JFK,2023-11-05,2023-11-06,864,3,27,Autumn,Sunday
542,Cathay Pacific,KTM,JFK,2023-11-05,2023-11-08,1260,3,21,Autumn,Sunday
543,Etihad,KTM,JFK,2023-11-05,2023-11-06,2091,2,41,Autumn,Sunday
544,Emirates,KTM,JFK,2023-11-05,2023-11-07,1036,2,37,Autumn,Sunday
545,Emirates,KTM,JFK,2023-11-05,2023-11-06,952,3,34,Autumn,Sunday
546,Emirates,KTM,JFK,2023-11-05,2023-11-07,700,1,25,Autumn,Sunday
547,Qatar Airways,KTM,JFK,2023-11-05,2023-11-06,736,1,23,Autumn,Sunday
548,Turkish Airlines,KTM,JFK,2023-11-05,2023-11-05,1620,3,27,Autumn,Sunday
549,Korean Air,KTM,JFK,2023-11-05,2023-11-06,1452,3,33,Autumn,Sunday
550,Qatar Airways,KTM,JFK,2023-11-05,2023-11-08,1184,2,37,Autumn,Sunday
551,Turkish Airlines,KTM,JFK,2023-11-05,2023-11-07,1680,3,28,Autumn,Sunday
552,Cathay Pacific,KTM,JFK,2023-11-07,2023-11-10,1320,2,22,Autumn,Tuesday
553,China Southern,KTM,JFK,2023-11-07,2023-11-08,1537,3,29,Autumn,Tuesday
554,China Southern,KTM,JFK,2023-11-07,2023-11-10,992,1,31,Autumn,Tuesday
555,China Southern,KTM,JFK,2023-11-07,2023-11-08,1325,3,25,Autumn,Tuesday
556,Turkish Airlines,KTM,JFK,2023-11-07,2023-11-10,1680,2,28,Autumn,Tuesday
557,Turkish Airlines,KTM,JFK,2023-11-07,2023-11-09,2160,2,36,Autumn,Tuesday
558,China Southern,KTM,JFK,2023-11-07,2023-11-07,928,3,29,Autumn,Tuesday
559,Turkish Airlines,KTM,JFK,2023-11-07,2023-11-07,2760,3,46,Autumn,Tuesday
560,Korean Air,KTM,JFK,2023-11-07,2023-11-07,924,2,21,Autumn,Tuesday
561,Turkish Airlines,KTM,JFK,2023-11-07,2023-11-08,2280,3,38,Autumn,Tuesday
562,China Southern,KTM,JFK,2023-11-07,2023-11-10,2597,3,49,Autumn,Tuesday
563,China Southern,KTM,JFK,2023-11-07,2023-11-07,928,2,29,Autumn,Tuesday
564,Korean Air,KTM,JFK,2023-11-07,2023-11-09,1848,2,42,Autumn,Tuesday
565,Emirates,KTM,JFK,2023-11-07,2023-11-07,1260,2,45,Autumn,Tuesday
566,Etihad,KTM,JFK,2023-11-07,2023-11-07,1020,1,20,Autumn,Tuesday
567,Korean Air,KTM,JFK,2023-11-07,2023-11-08,880,3,20,Autumn,Tuesday
568,China Southern,KTM,JFK,2023-11-07,2023-11-10,1113,1,21,Autumn,Tuesday
569,Qatar Airways,KTM,JFK,2023-11-07,2023-11-08,704,1,22,Autumn,Tuesday
570,Etihad,KTM,JFK,2023-11-07,2023-11-07,1989,2,39,Autumn,Tuesday
571,China Southern,KTM,JFK,2023-11-07,2023-11-08,1312,3,41,Autumn,Tuesday
572,Etihad,KTM,JFK,2023-11-07,2023-11-08,2040,1,40,Autumn,Tuesday
573,Emirates,KTM,JFK,2023-11-07,2023-11-10,672,2,24,Autumn,Tuesday
574,Emirates,KTM,JFK,2023-11-07,2023-11-08,840,2,30,Autumn,Tuesday
575,Emirates,KTM,JFK,2023-11-07,2023-11-07,1064,2,38,Autumn,Tuesday
576,Qatar Airways,KTM,JFK,2023-11-07,2023-11-07,1536,2,48,Autumn,Tuesday
577,Korean Air,KTM,JFK,2023-11-07,2023-11-07,1672,3,38,Autumn,Tuesday
578,China Southern,KTM,JFK,2023-11-07,2023-11-07,2385,3,45,Autumn,Tuesday
579,Qatar Airways,KTM,JFK,2023-11-07,2023-11-07,1376,1,43,Autumn,Tuesday
580,Korean Air,KTM,JFK,2023-11-07,2023-11-07,924,3,21,Autumn,Tuesday
581,Cathay Pacific,KTM,JFK,2023-11-09,2023-11-11,2820,1,47,Autumn,Thursday
582,China Southern,KTM,JFK,2023-11-09,2023-11-12,1060,3,20,Autumn,Thursday
583,China Southern,KTM,JFK,2023-11-09,2023-11-10,800,3,25,Autumn,Thursday
584,China Southern,KTM,JFK,2023-11-09,2023-11-09,2385,2,45,Autumn,Thursday
585,Turkish Airlines,KTM,JFK,2023-11-09,2023-11-10,1260,3,21,Autumn,Thursday
586,Turkish Airlines,KTM,JFK,2023-11-09,2023-11-10,1380,1,23,Autumn,Thursday
587,China Southern,KTM,JFK,2023-11-09,2023-11-09,1248,3,39,Autumn,Thursday
